GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Security Service,com.udacity.catpoint.security.application,DisplayPanel,63,0,0,0,18,0,4,0,4,0
Security Service,com.udacity.catpoint.security.application,ImagePanel,245,0,12,0,56,0,15,0,9,0
Security Service,com.udacity.catpoint.security.application,SensorPanel,344,0,18,0,74,0,23,0,14,0
Security Service,com.udacity.catpoint.security.application,CatpointGui,110,0,0,0,25,0,2,0,2,0
Security Service,com.udacity.catpoint.security.application,CatpointApp,11,0,0,0,4,0,2,0,2,0
Security Service,com.udacity.catpoint.security.application,ControlPanel,100,0,2,0,18,0,8,0,7,0
Security Service,com.udacity.catpoint.security.data,ArmingStatus,6,53,0,0,2,8,2,2,2,2
Security Service,com.udacity.catpoint.security.data,AlarmStatus,6,53,0,0,2,8,2,2,2,2
Security Service,com.udacity.catpoint.security.data,Sensor,147,45,33,3,29,11,26,5,8,5
Security Service,com.udacity.catpoint.security.data,PretendDatabaseSecurityRepositoryImpl.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Security Service,com.udacity.catpoint.security.data,SensorType,0,21,0,0,0,2,0,1,0,1
Security Service,com.udacity.catpoint.security.data,FakeSecurityRepository,9,58,0,0,3,19,2,9,2,9
Security Service,com.udacity.catpoint.security.data,PretendDatabaseSecurityRepositoryImpl,138,0,10,0,39,0,18,0,13,0
Security Service,com.udacity.catpoint.security.service,SecurityService,0,304,2,45,0,80,2,41,0,19
Security Service,com.udacity.catpoint.security.service,StyleService,11,0,0,0,2,0,2,0,2,0
